word,word,word,cmd,stop,symbol,forex,response,true,word,Handy
ask,question,word,cmd,buy,number,int,word,symbol,forex,Handy
ask,question,word,cmd,buy,symbol,forex,number,int,word,Handy
ask,question,word,cmd,buy,symbol,forex,number,int,word,Handy
word,word,cmd,buy,symbol,forex,number,int,unit,trade,Handy
ask,question,word,word,word,word,ask,question,word,word,Handy
ask,question,word,word,word,word,ask,question,word,word,Handy
ask,question,word,word,word,word,ask,question,word,word,Handy
ask,question,word,word,word,word,ask,question,word,word,Handy
ask,question,word,word,word,word,word,word,word,word,Handy
ask,question,word,word,word,word,word,word,word,word,Handy
ask,question,word,word,word,word,word,word,word,word,Handy
ask,question,word,word,word,word,word,word,word,word,Handy
ask,question,handy,greetings,word,word,word,handy,good_time,word,Handy
handy,hello,word,datetime,calendar,word,word,datetime,calendar,word,Handy
cmd,buy,word,datetime,calendar,word,word,datetime,calendar,word,Handy
ask,question,word,word,word,cmd,deposit,word,word,word,Handy
ask,question,word,word,word,cmd,deposit,word,word,word,Handy
ask,question,word,word,word,cmd,deposit,word,word,word,Handy
ask,question,word,word,word,cmd,deposit,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,faq,"what documents are required to open an account",ask,question,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,faq,"what documents are required to open an account",ask,question,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,faq,"what documents are required to open an account",ask,question,Handy
ask,question,word,word,response,false,cmd,stop,word,word,Handy
ask,question,word,word,cmd,buy,word,symbol,forex,word,Handy
faq,"what is swap",faq,"what is swap",ask,question,word,word,word,word,Handy
faq,"what is swap",faq,"what is swap",ask,question,word,word,word,word,Handy
