ask,question,handy,greetings,word,word,word,ask,question,handy,greetings,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
faq,"what documents are required to open an account",faq,"what documents are required to open an account",ask,question,word,faq,"what documents are required to open an account",ask,question,word,word,word,Handy
word,response,true,handy,response_p,word,word,word,symbol,forex,word,word,word,word,Handy
faq,"what is stop loss",faq,"what is take profit",ask,question,word,faq,"what is stop loss",word,cmd,stop,word,word,Handy
faq,"what is stop loss",faq,"what is take profit",ask,question,word,faq,"what is stop loss",word,cmd,stop,word,word,Handy
faq,"what is stop loss",faq,"what is take profit",ask,question,word,faq,"what is stop loss",word,cmd,stop,word,word,Handy
cmd,buy,word,number,int,response,true,word,unit,trade,word,symbol,forex,word,Handy
